Fetched 10647 Record(s) from HAMS Devices

insert into att_raw_data values('null', '2025-08-25', '615', '615', '', '08:27:14', '0', 'A8N5232360745', '', 'ZKT-A8N5232360745');
insert into att_raw_data values('null', '2025-08-25', '1375', '1375', '', '08:27:55', '0', 'A8N5231260034', '', 'ZKT-A8N5231260034');
insert into att_raw_data values('null', '2025-08-25', '9028', '9028', '', '08:35:09', '0', 'A8N5231260153', '', 'ZKT-A8N5231260153');
insert into att_raw_data values('null', '2025-08-25', '1499', '1499', '', '08:35:52', '0', 'A8N5232360470', '', 'ZKT-A8N5232360470');
insert into att_raw_data values('null', '2025-08-25', '7045', '7045', '', '08:36:35', '0', 'A8N5232360785', '', 'ZKT-A8N5232360785');
insert into att_raw_data values('null', '2025-08-25', '1681', '1681', '', '08:36:47', '0', 'A8N5232360950', '', 'ZKT-A8N5232360950');
insert into att_raw_data values('null', '2025-08-25', '1075', '1075', '', '08:36:56', '0', 'A8N5232360950', '', 'ZKT-A8N5232360950');
insert into att_raw_data values('null', '2025-08-25', '9036', '9036', '', '08:39:23', '0', 'A8N5231260148', '', 'ZKT-A8N5231260148');
insert into att_raw_data values('null', '2025-08-25', '9045', '9045', '', '08:40:08', '0', 'A8N5232360470', '', 'ZKT-A8N5232360470');
insert into att_raw_data values('null', '2025-08-25', '1007', '1007', '', '08:40:28', '0', 'A8N5232360782', '', 'ZKT-A8N5232360782');
insert into att_raw_data values('null', '2025-08-25', '119', '119', '', '08:43:01', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '145', '145', '', '08:44:04', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '935', '935', '', '08:44:35', '0', 'A8N5232360950', '', 'ZKT-A8N5232360950');
insert into att_raw_data values('null', '2025-08-25', '1008', '1008', '', '08:46:02', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '9023', '9023', '', '08:46:12', '0', 'A8N5232360746', '', 'ZKT-A8N5232360746');
insert into att_raw_data values('null', '2025-08-25', '1647', '1647', '', '08:48:40', '0', 'A8N5232360785', '', 'ZKT-A8N5232360785');
insert into att_raw_data values('null', '2025-08-25', '679', '679', '', '08:49:45', '0', 'A8N5232360950', '', 'ZKT-A8N5232360950');
insert into att_raw_data values('null', '2025-08-25', '788', '788', '', '08:50:23', '0', 'A8N5232360711', '', 'ZKT-A8N5232360711');
insert into att_raw_data values('null', '2025-08-25', '788', '788', '', '08:50:24', '0', 'A8N5232360711', '', 'ZKT-A8N5232360711');
insert into att_raw_data values('null', '2025-08-25', '958', '958', '', '08:50:32', '0', 'A8N5232360711', '', 'ZKT-A8N5232360711');
insert into att_raw_data values('null', '2025-08-25', '391', '391', '', '08:50:56', '0', 'A8N5232360011', '', 'ZKT-A8N5232360011');
insert into att_raw_data values('null', '2025-08-25', '1617', '1617', '', '08:51:11', '0', 'PAS4240900544', '', 'ZKT-PAS4240900544');
insert into att_raw_data values('null', '2025-08-25', '1617', '1617', '', '08:51:16', '0', 'PAS4240900544', '', 'ZKT-PAS4240900544');
insert into att_raw_data values('null', '2025-08-25', '1608', '1608', '', '08:52:02', '0', 'A8N5232360746', '', 'ZKT-A8N5232360746');
insert into att_raw_data values('null', '2025-08-25', '9012', '9012', '', '08:52:12', '0', 'A8N5231260150', '', 'ZKT-A8N5231260150');
insert into att_raw_data values('null', '2025-08-25', '168', '168', '', '08:52:18', '0', 'A8N5231260150', '', 'ZKT-A8N5231260150');
insert into att_raw_data values('null', '2025-08-25', '1618', '1618', '', '08:53:18', '0', 'PAS4240900544', '', 'ZKT-PAS4240900544');
insert into att_raw_data values('null', '2025-08-25', '198', '198', '', '08:53:28', '0', 'A8N5232360665', '', 'ZKT-A8N5232360665');
insert into att_raw_data values('null', '2025-08-25', '605', '605', '', '08:53:44', '0', '3259222240021', '', 'ZKT-3259222240021');
insert into att_raw_data values('null', '2025-08-25', '9052', '9052', '', '08:53:47', '0', 'A8N5232360665', '', 'ZKT-A8N5232360665');
insert into att_raw_data values('null', '2025-08-25', '314', '314', '', '08:54:05', '0', 'A8N5232360418', '', 'ZKT-A8N5232360418');
insert into att_raw_data values('null', '2025-08-25', '605', '605', '', '08:54:08', '0', '3259222240021', '', 'ZKT-3259222240021');
insert into att_raw_data values('null', '2025-08-25', '155', '155', '', '08:54:38', '0', 'A8N5232360015', '', 'ZKT-A8N5232360015');
insert into att_raw_data values('null', '2025-08-25', '503', '503', '', '08:54:43', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '503', '503', '', '08:54:46', '0', 'A8N5231260510', '', 'ZKT-A8N5231260510');
insert into att_raw_data values('null', '2025-08-25', '696', '696', '', '08:55:08', '0', 'A8N5232360653', '', 'ZKT-A8N5232360653');
insert into att_raw_data values('null', '2025-08-25', '1420', '1420', '', '08:55:27', '0', 'A8N5232360134', '', 'ZKT-A8N5232360134');
insert into att_raw_data values('null', '2025-08-25', '275', '275', '', '08:55:40', '0', 'A8N5232360005', '', 'ZKT-A8N5232360005');
insert into att_raw_data values('null', '2025-08-25', '1336', '1336', '', '08:56:49', '0', 'A8N5231260116', '', 'ZKT-A8N5231260116');
insert into att_raw_data values('null', '2025-08-25', '9005', '9005', '', '08:57:55', '0', 'A8N5232360596', '', 'ZKT-A8N5232360596');
